#,Player,Team,Matches,Batting,Bowling,Fielding,Other,MOM #,Total
85.0,Md Nafiuzzaman,Cavaliers CC of Windsor,17.0,869.0,10.0,30.0,50.0,1.0,959.0
,Cavaliers CC of Windsor,,,,,,,,
86.0,Hardik Trivedi,WEUnited CC,13.0,765.0,60.0,30.0,100.0,2.0,955.0
,WEUnited CC,,,,,,,,
87.0,Ikram Ali Khokhar,Malik CC,16.0,53.0,740.0,110.0,50.0,1.0,953.0
,Malik CC,,,,,,,,
88.0,Kiran Kumar T B,Trophy Fighters,10.0,690.0,150.0,10.0,100.0,2.0,950.0
,Trophy Fighters,,,,,,,,
89.0,Raza Malik,Malik CC,18.0,878.0,0.0,70.0,0.0,0.0,948.0
,Malik CC,,,,,,,,
90.0,Muhammad Arif Khan,Lasalle Lightning CC,13.0,98.0,800.0,50.0,0.0,0.0,948.0
,Lasalle Lightning CC,,,,,,,,
91.0,Muhammad Abdullah,Alpha XI,15.0,427.0,430.0,80.0,0.0,0.0,937.0
,Alpha XI,,,,,,,,
92.0,Naveen Bhoopal,Renegades CC,13.0,855.0,-50.0,30.0,100.0,2.0,935.0
,Renegades CC,,,,,,,,
93.0,Amar Reddy,Chatham CC,14.0,314.0,530.0,40.0,50.0,1.0,934.0
,Chatham CC,,,,,,,,
94.0,Mohamed Fiazul Hasan Raja Abdul Rahman,Windsor Lancers CC,8.0,722.0,0.0,60.0,150.0,3.0,932.0
,Windsor Lancers CC,,,,,,,,
95.0,Ghoshit Patel,Underdogs CC,10.0,258.0,500.0,70.0,100.0,2.0,928.0
,Underdogs CC,,,,,,,,
96.0,Samrat Klair,Punjab XI CC,18.0,734.0,0.0,140.0,50.0,1.0,924.0
,Punjab XI CC,,,,,,,,
97.0,Aryan Khullar,Windsor Lions CC,14.0,148.0,640.0,70.0,50.0,1.0,908.0
,Windsor Lions CC,,,,,,,,
98.0,Mohit Bhatia,Windsor Tigers CC,18.0,540.0,290.0,70.0,0.0,0.0,900.0
,Windsor Tigers CC,,,,,,,,
99.0,Harsh Desai,Windsor Lions 2,8.0,567.0,320.0,10.0,0.0,0.0,897.0
,Windsor Lions 2,,,,,,,,
100.0,Abdullah Qureshi,Lasalle Lightning CC,10.0,856.0,0.0,40.0,0.0,0.0,896.0
,Lasalle Lightning CC,,,,,,,,
101.0,Vikram Dahiya,Vulcans CC,16.0,614.0,130.0,100.0,50.0,1.0,894.0
,Vulcans CC,,,,,,,,
102.0,Mit Patel,WEUnited CC,18.0,131.0,680.0,70.0,0.0,0.0,881.0
,WEUnited CC,,,,,,,,
103.0,Shivam Jadeja,Gujarat Super Lions,7.0,689.0,30.0,60.0,100.0,2.0,879.0
,Gujarat Super Lions,,,,,,,,
104.0,Gurveer Singh Sran,Windsor Royals CC,16.0,207.0,480.0,90.0,100.0,2.0,877.0
,Windsor Royals CC,,,,,,,,
105.0,Maninder Brar,Punjab XI CC,16.0,408.0,410.0,50.0,0.0,0.0,868.0
,Punjab XI CC,,,,,,,,
106.0,Riaz Ali Lashari,Alpha XI,16.0,824.0,0.0,40.0,0.0,0.0,864.0
,Alpha XI,,,,,,,,
107.0,Harman Brar,Windsor Lions CC,3.0,722.0,0.0,40.0,100.0,2.0,862.0
,Windsor Lions CC,,,,,,,,
108.0,Jaspinder Singh,Malik CC,17.0,720.0,0.0,40.0,100.0,2.0,860.0
,Malik CC,,,,,,,,
109.0,Anmol Chahal,Punjab XI CC,17.0,774.0,0.0,80.0,0.0,0.0,854.0
,Punjab XI CC,,,,,,,,
110.0,Udaypratap Singh,Gujarat Lions CC,14.0,739.0,0.0,60.0,50.0,1.0,849.0
,Gujarat Lions CC,,,,,,,,
111.0,Rizwan Baig,Cavaliers CC of Windsor,12.0,727.0,0.0,20.0,100.0,2.0,847.0
,Cavaliers CC of Windsor,,,,,,,,
112.0,Manish Patel,EOCC,11.0,327.0,410.0,60.0,50.0,1.0,847.0
,EOCC,,,,,,,,
113.0,Jurred Jones,Cavaliers CC of Windsor,16.0,521.0,160.0,160.0,0.0,0.0,841.0
,Cavaliers CC of Windsor,,,,,,,,
114.0,Smit Prajapati,EOCC,15.0,344.0,340.0,100.0,50.0,1.0,834.0
,EOCC,,,,,,,,
115.0,Abhishek Mishra,EOCC,15.0,688.0,10.0,130.0,0.0,0.0,828.0
,EOCC,,,,,,,,
116.0,Karthik Raja,Renegades CC,16.0,664.0,-10.0,70.0,100.0,2.0,824.0
,Renegades CC,,,,,,,,
117.0,Upendra Patike,Street Strikers,8.0,541.0,110.0,120.0,50.0,1.0,821.0
,Street Strikers,,,,,,,,
118.0,Harjeet Singh,Punjab XI CC,16.0,68.0,700.0,50.0,0.0,0.0,818.0
,Punjab XI CC,,,,,,,,
119.0,Smit Gheewala,Windsor Lancers CC,11.0,727.0,0.0,90.0,0.0,0.0,817.0
,Windsor Lancers CC,,,,,,,,
120.0,Gagan Deep,Optimist CC,15.0,-13.0,770.0,50.0,0.0,0.0,807.0
,Optimist CC,,,,,,,,
121.0,Beantjeet Singh,Windsor Royals CC,18.0,764.0,0.0,40.0,0.0,0.0,804.0
,Windsor Royals CC,,,,,,,,
122.0,Simran Jeet,Optimist CC,13.0,651.0,-20.0,120.0,50.0,1.0,801.0
,Optimist CC,,,,,,,,
123.0,Khadagapani Reddy Jayareddy,Vulcans CC,15.0,376.0,330.0,90.0,0.0,0.0,796.0
,Vulcans CC,,,,,,,,
124.0,Neeraj A,Alpha XI,10.0,244.0,460.0,40.0,50.0,1.0,794.0
,Alpha XI,,,,,,,,
125.0,Keyoor Buch,Optimist CC,13.0,443.0,120.0,170.0,50.0,1.0,783.0
,Optimist CC,,,,,,,,
126.0,Collvon King,Cavaliers CC of Windsor,9.0,442.0,220.0,70.0,50.0,1.0,782.0
,Cavaliers CC of Windsor,,,,,,,,
127.0,Vadhul Krishnan,Renegades X,10.0,680.0,0.0,100.0,0.0,0.0,780.0
,Renegades X,,,,,,,,
128.0,Gopi Nedamarthi,Mavericks CC,14.0,159.0,450.0,170.0,0.0,0.0,779.0
,Mavericks CC,,,,,,,,
129.0,Imran Khan,Malik CC,17.0,577.0,0.0,200.0,0.0,0.0,777.0
,Malik CC,,,,,,,,
130.0,Alister Lopes,Vulcans CC,15.0,596.0,110.0,70.0,0.0,0.0,776.0
,Vulcans CC,,,,,,,,
131.0,Nikunj Dankhara,Windsor Lancers CC,15.0,656.0,60.0,10.0,50.0,1.0,776.0
,Windsor Lancers CC,,,,,,,,
132.0,Rustam Bhatti,Alpha XI,8.0,645.0,0.0,80.0,50.0,1.0,775.0
,Alpha XI,,,,,,,,
133.0,John Ouseph,Renegades CC,13.0,72.0,650.0,50.0,0.0,0.0,772.0
,Renegades CC,,,,,,,,
134.0,Nadir Khan,Chatham CC,16.0,581.0,100.0,90.0,0.0,0.0,771.0
,Chatham CC,,,,,,,,
135.0,Hamad Shah,Chatham CC,8.0,627.0,130.0,10.0,0.0,0.0,767.0
,Chatham CC,,,,,,,,
136.0,Sai Karthik,Street Strikers,8.0,346.0,330.0,40.0,50.0,1.0,766.0
,Street Strikers,,,,,,,,
137.0,Ripu Singh,Trophy Fighters,13.0,461.0,190.0,50.0,50.0,1.0,751.0
,Trophy Fighters,,,,,,,,
138.0,Maulik Gabani,Alpha XI,9.0,465.0,160.0,70.0,50.0,1.0,745.0
,Alpha XI,,,,,,,,
139.0,Abhi Sannagiri,Mavericks CC,14.0,205.0,410.0,130.0,0.0,0.0,745.0
,Mavericks CC,,,,,,,,
140.0,Goutham Reddy,Vulcans CC,13.0,173.0,510.0,60.0,0.0,0.0,743.0
,Vulcans CC,,,,,,,,
141.0,Varun Sharma,WEUnited CC,14.0,235.0,430.0,70.0,0.0,0.0,735.0
,WEUnited CC,,,,,,,,
142.0,Aman Singh,WEUnited CC,13.0,664.0,0.0,20.0,50.0,1.0,734.0
,WEUnited CC,,,,,,,,
143.0,Keval Vasra,Windsor Lancers CC,15.0,434.0,210.0,90.0,0.0,0.0,734.0
,Windsor Lancers CC,,,,,,,,
144.0,Srikanth Vasavi,Mavericks CC,13.0,189.0,480.0,50.0,0.0,0.0,719.0
,Mavericks CC,,,,,,,,
145.0,Nirmal Gill,Punjab XI CC,15.0,706.0,0.0,10.0,0.0,0.0,716.0
,Punjab XI CC,,,,,,,,
146.0,Pavan Bandi,Renegades CC,13.0,592.0,0.0,70.0,50.0,1.0,712.0
,Renegades CC,,,,,,,,
147.0,Viraj Patel,WEUnited CC,12.0,22.0,660.0,30.0,0.0,0.0,712.0
,WEUnited CC,,,,,,,,
148.0,Glenroy Lumely,Cavaliers CC of Windsor,8.0,608.0,0.0,50.0,50.0,1.0,708.0
,Cavaliers CC of Windsor,,,,,,,,
149.0,Shahzeb Akram,WEUnited CC,20.0,514.0,0.0,120.0,50.0,1.0,684.0
,WEUnited CC,,,,,,,,
150.0,Amit Sharma,Trophy Fighters,14.0,562.0,0.0,120.0,0.0,0.0,682.0
,Trophy Fighters,,,,,,,,
151.0,Nikhil Ghattamaneni,Mavericks CC,13.0,569.0,40.0,20.0,50.0,1.0,679.0
,Mavericks CC,,,,,,,,
152.0,Aftab Malik,Malik CC,14.0,25.0,600.0,40.0,0.0,0.0,665.0
,Malik CC,,,,,,,,
153.0,Sohail Malik,Malik CC,17.0,364.0,190.0,60.0,50.0,1.0,664.0
,Malik CC,,,,,,,,
154.0,Santokhsar Singh,Windsor Lions 2,17.0,7.0,590.0,60.0,0.0,0.0,657.0
,Windsor Lions 2,,,,,,,,
155.0,Honey Saini,Windsor Tigers CC,16.0,264.0,230.0,160.0,0.0,0.0,654.0
,Windsor Tigers CC,,,,,,,,
156.0,Harman Brar,Underdogs CC,7.0,583.0,0.0,70.0,0.0,0.0,653.0
,Underdogs CC,,,,,,,,
157.0,Taimoor Javed,Lasalle Lightning CC,13.0,408.0,150.0,90.0,0.0,0.0,648.0
,Lasalle Lightning CC,,,,,,,,
158.0,Yousof Totakhil,Windsor Warriors,13.0,338.0,250.0,60.0,0.0,0.0,648.0
,Windsor Warriors,,,,,,,,
159.0,Leela M Kondeparthi,Mavericks CC,13.0,494.0,20.0,110.0,0.0,0.0,624.0
,Mavericks CC,,,,,,,,
160.0,Ganga Singh,Windsor Lions CC,16.0,443.0,0.0,180.0,0.0,0.0,623.0
,Windsor Lions CC,,,,,,,,
161.0,Neil Contractor,Alpha XI,15.0,541.0,0.0,80.0,0.0,0.0,621.0
,Alpha XI,,,,,,,,
162.0,Shivam Rajput,Windsor Royals CC,16.0,346.0,210.0,60.0,0.0,0.0,616.0
,Windsor Royals CC,,,,,,,,
163.0,Pardeep Singh,Punjab XI CC,12.0,64.0,400.0,50.0,100.0,2.0,614.0
,Punjab XI CC,,,,,,,,
164.0,Bobby Venktesh,Windsor Lions 2,18.0,330.0,0.0,230.0,50.0,1.0,610.0
,Windsor Lions 2,,,,,,,,
165.0,Faizaan Munim,Chatham CC,4.0,209.0,300.0,50.0,50.0,1.0,609.0
,Chatham CC,,,,,,,,
166.0,Raj Sabalpara,Windsor Lancers CC,12.0,278.0,270.0,60.0,0.0,0.0,608.0
,Windsor Lancers CC,,,,,,,,
167.0,Gurkirat Singh,Vulcans CC,14.0,526.0,0.0,30.0,50.0,1.0,606.0
,Vulcans CC,,,,,,,,
168.0,Chaitanya Thokala,Trophy Fighters,12.0,498.0,70.0,30.0,0.0,0.0,598.0
,Trophy Fighters,,,,,,,,
169.0,Karan Singh,Windsor Tigers CC,17.0,528.0,20.0,40.0,0.0,0.0,588.0
,Windsor Tigers CC,,,,,,,,
170.0,Vignesh Ganapathy,Renegades X,11.0,346.0,180.0,60.0,0.0,0.0,586.0
,Renegades X,,,,,,,,
171.0,Karan Adhaduk,WEUnited CC,16.0,496.0,0.0,90.0,0.0,0.0,586.0
,WEUnited CC,,,,,,,,
172.0,Arshdeep Singh,Punjab XI CC,4.0,309.0,190.0,30.0,50.0,1.0,579.0
,Punjab XI CC,,,,,,,,
173.0,Jignesh Patel,Gujarat Lions CC,12.0,73.0,490.0,10.0,0.0,0.0,573.0
,Gujarat Lions CC,,,,,,,,
174.0,Faisal Wahid,Windsor Warriors,9.0,532.0,20.0,20.0,0.0,0.0,572.0
,Windsor Warriors,,,,,,,,
175.0,Rohith V,Trophy Fighters,4.0,387.0,120.0,10.0,50.0,1.0,567.0
,Trophy Fighters,,,,,,,,
176.0,Jasleen Bhatti,Punjab XI CC,17.0,0.0,510.0,50.0,0.0,0.0,560.0
,Punjab XI CC,,,,,,,,
177.0,Luqman Ahmad,Windsor Lions CC,18.0,293.0,90.0,170.0,0.0,0.0,553.0
,Windsor Lions CC,,,,,,,,
178.0,Shabbir Stationwala,Windsor Warriors,9.0,373.0,150.0,30.0,0.0,0.0,553.0
,Windsor Warriors,,,,,,,,
179.0,Rohit Kataria,Windsor Tigers CC,11.0,-10.0,480.0,30.0,50.0,1.0,550.0
,Windsor Tigers CC,,,,,,,,
180.0,Anooplal Ravi,Renegades CC,15.0,96.0,350.0,100.0,0.0,0.0,546.0
,Renegades CC,,,,,,,,
181.0,Vasudevareddy Vulavala,Windsor Lancers CC,11.0,226.0,280.0,40.0,0.0,0.0,546.0
,Windsor Lancers CC,,,,,,,,
182.0,Jaspreet Brar,Windsor Tigers CC,16.0,25.0,490.0,30.0,0.0,0.0,545.0
,Windsor Tigers CC,,,,,,,,
183.0,Divya Patel,Renegades X,11.0,323.0,150.0,70.0,0.0,0.0,543.0
,Renegades X,,,,,,,,
184.0,Ravinder Singh,Windsor Lions 2,15.0,368.0,90.0,80.0,0.0,0.0,538.0
,Windsor Lions 2,,,,,,,,
185.0,Farooq Hyder,Lasalle Lightning CC,8.0,42.0,380.0,50.0,50.0,1.0,522.0
,Lasalle Lightning CC,,,,,,,,
186.0,Alger A,Alpha XI,14.0,442.0,0.0,20.0,50.0,1.0,512.0
,Alpha XI,,,,,,,,
187.0,Sanam Mehta,Vulcans CC,13.0,122.0,200.0,140.0,50.0,1.0,512.0
,Vulcans CC,,,,,,,,
188.0,Gurjot Singh,Windsor Warriors,9.0,170.0,260.0,80.0,0.0,0.0,510.0
,Windsor Warriors,,,,,,,,
189.0,Anirudh Gururajan,Windsor Lions CC,4.0,489.0,0.0,20.0,0.0,0.0,509.0
,Windsor Lions CC,,,,,,,,
190.0,Nikhil Kakumanu,Super Chargers,16.0,37.0,340.0,130.0,0.0,0.0,507.0
,Super Chargers,,,,,,,,
191.0,Vignesh Vaidyanathan,Renegades X,9.0,416.0,0.0,40.0,50.0,1.0,506.0
,Renegades X,,,,,,,,
192.0,Jay Bhimani,Renegades CC,11.0,144.0,300.0,60.0,0.0,0.0,504.0
,Renegades CC,,,,,,,,
193.0,Ram Bodhe,Windsor Lancers CC,16.0,13.0,420.0,70.0,0.0,0.0,503.0
,Windsor Lancers CC,,,,,,,,
194.0,Yash Pandya,Windsor Dominion CC,9.0,333.0,160.0,10.0,0.0,0.0,503.0
,Windsor Dominion CC,,,,,,,,
195.0,Chetan Nawale,Renegades X,3.0,381.0,90.0,30.0,0.0,0.0,501.0
,Renegades X,,,,,,,,
196.0,Sarim Khan,Optimist CC,9.0,40.0,390.0,10.0,50.0,1.0,490.0
,Optimist CC,,,,,,,,
197.0,Parth Patel,EOCC,11.0,12.0,420.0,40.0,0.0,0.0,472.0
,EOCC,,,,,,,,
198.0,Muhammad Usman,Lasalle Lightning CC,14.0,80.0,290.0,100.0,0.0,0.0,470.0
